Unnamed: 0,id,construction,original,D_full,D_both,P_full,theme_in_context,recipient_in_context,P_both,logprob_D_full,logprob_P_full,logprob_D_both,logprob_P_both,logprob_theme_in_context,logprob_recipient_in_context
10,dat-0011,D," re-like, Are you still dating Kevin? Like, they give you this, things more and you're-like, Weird,"," re-like, Are you still dating Kevin? Like, they give you this, things more and you're-like, Weird,"," re-like, Are you still dating Kevin? Like, they give you this"," re-like, Are you still dating Kevin? Like, they give this to you, things more and you're-like, Weird,"," re-like, Are you still dating Kevin? Like, they give this"," re-like, Are you still dating Kevin? Like, they give you"," re-like, Are you still dating Kevin? Like, they give this to you",-175.11558901,-180.17777057500004,-110.61021676499996,-118.14958640499998,-111.77760892449999,-107.9770182023
11,dat-0012,D," what else, they yell at me a lot, my dad likes to give me lectures. Not when I'm in trouble, he just t"," what else, they yell at me a lot, my dad likes to give me lectures. Not when I'm in trouble, he just t"," what else, they yell at me a lot, my dad likes to give me lectures"," what else, they yell at me a lot, my dad likes to give lectures to me. Not when I'm in trouble, he just t"," what else, they yell at me a lot, my dad likes to give lectures"," what else, they yell at me a lot, my dad likes to give me"," what else, they yell at me a lot, my dad likes to give lectures to me",-121.61364594999999,-125.56318279,-87.99550878000001,-92.32658212,-89.28477004999999,-84.12988931999999
12,dat-0014,D," w sightseeing and do what you want, you-know they give us curfew and we just kind-of like roam around,"," w sightseeing and do what you want, you-know they give us curfew and we just kind-of like roam around,"," w sightseeing and do what you want, you-know they give us curfew"," w sightseeing and do what you want, you-know they give curfew to us and we just kind-of like roam around,"," w sightseeing and do what you want, you-know they give curfew"," w sightseeing and do what you want, you-know they give us"," w sightseeing and do what you want, you-know they give curfew to us",-138.47258082000002,-147.04952044000004,-108.60023309999998,-116.96012005000001,-110.13405859999997,-99.75774719999997
13,dat-0015,D," d these guys ar-- ain 't so bad either."" They 're giving me support they 're saying, ""Yeah I was like you"," d these guys ar-- ain 't so bad either."" They 're giving me support they 're saying, ""Yeah I was like you"," d these guys ar-- ain 't so bad either."" They 're giving me support"," d these guys ar-- ain 't so bad either."" They 're giving support to me they 're saying, ""Yeah I was like you"," d these guys ar-- ain 't so bad either."" They 're giving support"," d these guys ar-- ain 't so bad either."" They 're giving me"," d these guys ar-- ain 't so bad either."" They 're giving support to me",-145.194737074,-151.19088720000002,-117.57697088,-122.34359593,-117.28956575,-110.11557160000001
14,dat-0016,D, e all going to read it and then they 're going to give you sympathies. As opposed to when you 're talkin, e all going to read it and then they 're going to give you sympathies. As opposed to when you 're talkin, e all going to read it and then they 're going to give you sympathies, e all going to read it and then they 're going to give sympathies to you. As opposed to when you 're talkin, e all going to read it and then they 're going to give sympathies, e all going to read it and then they 're going to give you, e all going to read it and then they 're going to give sympathies to you,-125.10727093999999,-128.924987479,-94.33822721700001,-97.41550630299999,-93.12290185199998,-77.494065253
15,dat-0017,D," ts or whatever just to entertain them, right? And give them info because they are really new, right? And"," ts or whatever just to entertain them, right? And give them info because they are really new, right? And"," ts or whatever just to entertain them, right? And give them info"," ts or whatever just to entertain them, right? And give info to them because they are really new, right? And"," ts or whatever just to entertain them, right? And give info"," ts or whatever just to entertain them, right? And give them"," ts or whatever just to entertain them, right? And give info to them",-114.66192852999995,-118.42555579500004,-86.90583267000001,-91.84275263,-88.18563164000003,-77.89508253
16,dat-0018,D," t too much, [4] Okay [03] and plus she would like give us treat sometimes, although like- although like"," t too much, [4] Okay [03] and plus she would like give us treat sometimes, although like- although like"," t too much, [4] Okay [03] and plus she would like give us treat"," t too much, [4] Okay [03] and plus she would like give treat to us sometimes, although like- although like"," t too much, [4] Okay [03] and plus she would like give treat"," t too much, [4] Okay [03] and plus she would like give us"," t too much, [4] Okay [03] and plus she would like give treat to us",-167.96238780000002,-173.26726000000002,-135.69716580000002,-140.3768635,-134.61382250000003,-125.8847945
17,dat-0019,D, I were playing in the N-H-L I 'd stay in but I 'd give my knee time. I would- I 'd like help it skate I, I were playing in the N-H-L I 'd stay in but I 'd give my knee time. I would- I 'd like help it skate I, I were playing in the N-H-L I 'd stay in but I 'd give my knee time, I were playing in the N-H-L I 'd stay in but I 'd give time to my knee. I would- I 'd like help it skate I, I were playing in the N-H-L I 'd stay in but I 'd give time, I were playing in the N-H-L I 'd stay in but I 'd give my knee, I were playing in the N-H-L I 'd stay in but I 'd give time to my knee,-167.139266697,-167.45600446500003,-117.70531487700002,-120.333126776,-112.19253022600002,-111.936529603
18,dat-0020,D, e the T-T-C card- [7] Very interesting. [09] So I gave him money for it. [5] A student card? [8] (laugh, e the T-T-C card- [7] Very interesting. [09] So I gave him money for it. [5] A student card? [8] (laugh, e the T-T-C card- [7] Very interesting. [09] So I gave him money, e the T-T-C card- [7] Very interesting. [09] So I gave money to him for it. [5] A student card? [8] (laugh, e the T-T-C card- [7] Very interesting. [09] So I gave money, e the T-T-C card- [7] Very interesting. [09] So I gave him, e the T-T-C card- [7] Very interesting. [09] So I gave money to him,-177.21383158700002,-182.638718397,-137.6609691,-141.54725789999998,-137.34721393999996,-131.34210463999997
19,dat-0021,D, ut sometimes I feel sisterly towards him like I give him advice and I kind-of lecture him sometimes y, ut sometimes I feel sisterly towards him like I give him advice and I kind-of lecture him sometimes y, ut sometimes I feel sisterly towards him like I give him advice, ut sometimes I feel sisterly towards him like I give advice to him and I kind-of lecture him sometimes y, ut sometimes I feel sisterly towards him like I give advice, ut sometimes I feel sisterly towards him like I give him, ut sometimes I feel sisterly towards him like I give advice to him,-118.96825669000005,-123.13128652000003,-86.36635079,-90.88801388,-89.399339,-84.36221126
20,dat-0022,D, dances but semi-formal might be- the- their still giving us semi-formal right but like that 's it that 's, dances but semi-formal might be- the- their still giving us semi-formal right but like that 's it that 's, dances but semi-formal might be- the- their still giving us semi-formal, dances but semi-formal might be- the- their still giving semi-formal to us right but like that 's it that 's, dances but semi-formal might be- the- their still giving semi-formal, dances but semi-formal might be- the- their still giving us, dances but semi-formal might be- the- their still giving semi-formal to us,-154.85545178100003,-158.93498873699994,-116.69466350799998,-122.62684023699997,-113.283871928,-108.80742897999997
21,dat-0023,D," ""Lorene go outside."" So I 'd go outside and he 'd give - give me shit that I don 't come to class yet he"," ""Lorene go outside."" So I 'd go outside and he 'd give - give me shit that I don 't come to class yet he"," ""Lorene go outside."" So I 'd go outside and he 'd give - give me shit"," ""Lorene go outside."" So I 'd go outside and he 'd give - give shit to me that I don 't come to class yet he"," ""Lorene go outside."" So I 'd go outside and he 'd give - give shit"," ""Lorene go outside."" So I 'd go outside and he 'd give - give me"," ""Lorene go outside."" So I 'd go outside and he 'd give - give shit to me",-152.61465689300002,-158.079341214,-116.71167620999998,-121.06270286499998,-119.83549028399999,-108.85256332300003
22,dat-0024,D, dy and like for -- she 'll randomly like just like give us shit 'cause she thinks it 'll make my dad mad, dy and like for -- she 'll randomly like just like give us shit 'cause she thinks it 'll make my dad mad, dy and like for -- she 'll randomly like just like give us shit, dy and like for -- she 'll randomly like just like give shit to us 'cause she thinks it 'll make my dad mad, dy and like for -- she 'll randomly like just like give shit, dy and like for -- she 'll randomly like just like give us, dy and like for -- she 'll randomly like just like give shit to us,-151.85151863999994,-156.88027200999997,-120.81186559999999,-126.38643099999999,-120.06483349999999,-113.35608579999996
23,dat-0025,D, but like she 's always telling us what to do and giving us shit about stuff and she 's kind-of moody. I, but like she 's always telling us what to do and giving us shit about stuff and she 's kind-of moody. I, but like she 's always telling us what to do and giving us shit, but like she 's always telling us what to do and giving shit to us about stuff and she 's kind-of moody. I, but like she 's always telling us what to do and giving shit, but like she 's always telling us what to do and giving us, but like she 's always telling us what to do and giving shit to us,-115.98136499099998,-125.02931862499997,-80.65633625999999,-88.80386350999999,-85.08206181500002,-77.68403312
24,dat-0026,D, r the D-V-D-player. And then he takes up- like he gives us shit that we need to be studying but takes up, r the D-V-D-player. And then he takes up- like he gives us shit that we need to be studying but takes up, r the D-V-D-player. And then he takes up- like he gives us shit, r the D-V-D-player. And then he takes up- like he gives shit to us that we need to be studying but takes up, r the D-V-D-player. And then he takes up- like he gives shit, r the D-V-D-player. And then he takes up- like he gives us, r the D-V-D-player. And then he takes up- like he gives shit to us,-153.13786639999995,-159.57891241999997,-120.01266733,-125.25048712999998,-119.55398466000001,-112.47565159999998
25,dat-0027,D, her [3] Oh that s right [020] When Dan wanted to give me beer and then he like popped it open for me a, her [3] Oh that s right [020] When Dan wanted to give me beer and then he like popped it open for me a, her [3] Oh that s right [020] When Dan wanted to give me beer, her [3] Oh that s right [020] When Dan wanted to give beer to me and then he like popped it open for me a, her [3] Oh that s right [020] When Dan wanted to give beer, her [3] Oh that s right [020] When Dan wanted to give me, her [3] Oh that s right [020] When Dan wanted to give beer to me,-175.9216278,-178.762174,-139.24953639,-143.04821202,-138.75077646,-129.59911265
27,dat-0029,D," s grandma s like ninety-two, she s like Johnny give me coffee. And this is- it s- it s- I have a s"," s grandma s like ninety-two, she s like Johnny give me coffee. And this is- it s- it s- I have a s"," s grandma s like ninety-two, she s like Johnny give me coffee"," s grandma s like ninety-two, she s like Johnny give coffee to me. And this is- it s- it s- I have a s"," s grandma s like ninety-two, she s like Johnny give coffee"," s grandma s like ninety-two, she s like Johnny give me"," s grandma s like ninety-two, she s like Johnny give coffee to me",-173.91942079200004,-181.39922496449995,-124.74125565000001,-131.869843655,-129.626707066,-117.08853715000001
28,dat-0030,D, ouldn 't give them to you? [001] Well they didn 't give me any so I 'm just assuming. And so they gave- t, ouldn 't give them to you? [001] Well they didn 't give me any so I 'm just assuming. And so they gave- t, ouldn 't give them to you? [001] Well they didn 't give me any, ouldn 't give them to you? [001] Well they didn 't give any to me so I 'm just assuming. And so they gave- t, ouldn 't give them to you? [001] Well they didn 't give any, ouldn 't give them to you? [001] Well they didn 't give me, ouldn 't give them to you? [001] Well they didn 't give any to me,-149.94977427999996,-152.82778712400003,-99.55958698,-102.9251626,-101.95220871,-98.18816885
29,dat-0031,D, I need. I need a yes or a no. [002] Well I can 't give you one 'cause I don 't know. [1] What if you cam, I need. I need a yes or a no. [002] Well I can 't give you one 'cause I don 't know. [1] What if you cam, I need. I need a yes or a no. [002] Well I can 't give you one, I need. I need a yes or a no. [002] Well I can 't give one to you 'cause I don 't know. [1] What if you cam, I need. I need a yes or a no. [002] Well I can 't give one, I need. I need a yes or a no. [002] Well I can 't give you, I need. I need a yes or a no. [002] Well I can 't give one to you,-138.00968129199998,-144.354196285,-99.08635634999999,-104.89133996999998,-102.23549471999999,-96.925275138
30,dat-0032,D," like a quality kind. It- it gives flexibility, it gives you lightness and you can get stuff like that"," like a quality kind. It- it gives flexibility, it gives you lightness and you can get stuff like that"," like a quality kind. It- it gives flexibility, it gives you lightness"," like a quality kind. It- it gives flexibility, it gives lightness to you and you can get stuff like that"," like a quality kind. It- it gives flexibility, it gives lightness"," like a quality kind. It- it gives flexibility, it gives you"," like a quality kind. It- it gives flexibility, it gives lightness to you",-119.99318307000001,-124.71152734000002,-97.91562176000001,-101.8502961,-94.36472989999999,-89.87638215999999
31,dat-0033,D, good. I don 't get homework in English because she gives us time to do it in class- if we finish it in cla, good. I don 't get homework in English because she gives us time to do it in class- if we finish it in cla, good. I don 't get homework in English because she gives us time, good. I don 't get homework in English because she gives time to us to do it in class- if we finish it in cla, good. I don 't get homework in English because she gives time, good. I don 't get homework in English because she gives us, good. I don 't get homework in English because she gives time to us,-125.19990532999998,-132.79536077999998,-90.05263059999997,-95.95858299999999,-92.2516219,-84.90230559999999
32,dat-0034,D," m the Heavens like ""I exist Julio!"" And I can like give him props or wave back or-something. And then we"," m the Heavens like ""I exist Julio!"" And I can like give him props or wave back or-something. And then we"," m the Heavens like ""I exist Julio!"" And I can like give him props"," m the Heavens like ""I exist Julio!"" And I can like give props to him or wave back or-something. And then we"," m the Heavens like ""I exist Julio!"" And I can like give props"," m the Heavens like ""I exist Julio!"" And I can like give him"," m the Heavens like ""I exist Julio!"" And I can like give props to him",-166.05329030000004,-171.74736463000002,-126.15947849999996,-129.03549308,-124.69365148000001,-118.88285338000001
33,dat-0035,D," e Illuminati (laughs) You can cut that part out, I give you permission. [4] It 's good to know you 're ta"," e Illuminati (laughs) You can cut that part out, I give you permission. [4] It 's good to know you 're ta"," e Illuminati (laughs) You can cut that part out, I give you permission"," e Illuminati (laughs) You can cut that part out, I give permission to you. [4] It 's good to know you 're ta"," e Illuminati (laughs) You can cut that part out, I give permission"," e Illuminati (laughs) You can cut that part out, I give you"," e Illuminati (laughs) You can cut that part out, I give permission to you",-146.71802208,-153.43440277,-92.17602781,-97.81677445000001,-93.56993250999999,-91.90279895
34,dat-0036,D, ke money so he started dancing with people so they gave him money to get (inc). But (inc) a gas business., ke money so he started dancing with people so they gave him money to get (inc). But (inc) a gas business., ke money so he started dancing with people so they gave him money, ke money so he started dancing with people so they gave money to him to get (inc). But (inc) a gas business., ke money so he started dancing with people so they gave money, ke money so he started dancing with people so they gave him, ke money so he started dancing with people so they gave money to him,-152.07856842,-158.44705184,-84.98572602600002,-90.28454260000002,-89.0580935,-84.40912643000001
35,dat-0037,D, ngly all the time and like it 's not like I don 't give her advice. I do. But she just doesn 't use it. S, ngly all the time and like it 's not like I don 't give her advice. I do. But she just doesn 't use it. S, ngly all the time and like it 's not like I don 't give her advice, ngly all the time and like it 's not like I don 't give advice to her. I do. But she just doesn 't use it. S, ngly all the time and like it 's not like I don 't give advice, ngly all the time and like it 's not like I don 't give her, ngly all the time and like it 's not like I don 't give advice to her,-131.19749078799998,-135.051845208,-103.41986261999999,-107.06079072,-100.90694158000002,-97.64810320000001
36,dat-0038,D, like all they can do is like let you sit down and give you ice. So she likes to complain a lot. And then, like all they can do is like let you sit down and give you ice. So she likes to complain a lot. And then, like all they can do is like let you sit down and give you ice, like all they can do is like let you sit down and give ice to you. So she likes to complain a lot. And then, like all they can do is like let you sit down and give ice, like all they can do is like let you sit down and give you, like all they can do is like let you sit down and give ice to you,-117.61032927000001,-127.13546489999999,-82.38068032,-91.82877734,-86.23986539999999,-76.13837889999999
37,dat-0039,D, ah- blah- blah- blah. They 'll just- 'cause macro gives you electricity right? So they won 't need coal, ah- blah- blah- blah. They 'll just- 'cause macro gives you electricity right? So they won 't need coal, ah- blah- blah- blah. They 'll just- 'cause macro gives you electricity, ah- blah- blah- blah. They 'll just- 'cause macro gives electricity to you right? So they won 't need coal, ah- blah- blah- blah. They 'll just- 'cause macro gives electricity, ah- blah- blah- blah. They 'll just- 'cause macro gives you, ah- blah- blah- blah. They 'll just- 'cause macro gives electricity to you,-146.34706844199997,-155.77779223200005,-121.58330618,-129.3382676,-123.56937538,-109.27445779999996
38,dat-0040,D, have to learn much more. So that 's why they 'll give you credit with that. Who-knows? I-don-t-know., have to learn much more. So that 's why they 'll give you credit with that. Who-knows? I-don-t-know., have to learn much more. So that 's why they 'll give you credit, have to learn much more. So that 's why they 'll give credit to you with that. Who-knows? I-don-t-know., have to learn much more. So that 's why they 'll give credit, have to learn much more. So that 's why they 'll give you, have to learn much more. So that 's why they 'll give credit to you,-142.68403188199997,-145.83787564199997,-90.11410747999999,-94.02898531999999,-90.37475512999998,-83.28235412000001
39,dat-0041,D, hen my teacher she- he didn 't- he was too lazy to give us ours. So we couldn 't use the computers the e, hen my teacher she- he didn 't- he was too lazy to give us ours. So we couldn 't use the computers the e, hen my teacher she- he didn 't- he was too lazy to give us ours, hen my teacher she- he didn 't- he was too lazy to give ours to us. So we couldn 't use the computers the e, hen my teacher she- he didn 't- he was too lazy to give ours, hen my teacher she- he didn 't- he was too lazy to give us, hen my teacher she- he didn 't- he was too lazy to give ours to us,-140.00046222999998,-145.52339822,-108.29898905,-114.73894518,-110.71916296,-99.03752902000001
40,dat-0042,D," s pumping out. And then me and Greg were like ""We gave them that. It was our doing."" And then we got m"," s pumping out. And then me and Greg were like ""We gave them that. It was our doing."" And then we got m"," s pumping out. And then me and Greg were like ""We gave them that"," s pumping out. And then me and Greg were like ""We gave that to them. It was our doing."" And then we got m"," s pumping out. And then me and Greg were like ""We gave that"," s pumping out. And then me and Greg were like ""We gave them"," s pumping out. And then me and Greg were like ""We gave that to them",-137.81638650000002,-139.7847559,-104.40797964,-106.85355859999997,-102.25285893999998,-100.93387799999999
41,dat-0043,D, s like- the non-academic requirements. So they do give you credits. But they give you like P-Kin. credi, s like- the non-academic requirements. So they do give you credits. But they give you like P-Kin. credi, s like- the non-academic requirements. So they do give you credits, s like- the non-academic requirements. So they do give credits to you. But they give you like P-Kin. credi, s like- the non-academic requirements. So they do give credits, s like- the non-academic requirements. So they do give you, s like- the non-academic requirements. So they do give credits to you,-156.65860795999998,-164.31804527999998,-100.34983354999999,-106.87737214,-100.11600748,-93.90904495999999
42,dat-0044,D, ve me like sixty-bucks from my mom 's- like my mom gives her money to spend every month. She gave me sixt, ve me like sixty-bucks from my mom 's- like my mom gives her money to spend every month. She gave me sixt, ve me like sixty-bucks from my mom 's- like my mom gives her money, ve me like sixty-bucks from my mom 's- like my mom gives money to her to spend every month. She gave me sixt, ve me like sixty-bucks from my mom 's- like my mom gives money, ve me like sixty-bucks from my mom 's- like my mom gives her, ve me like sixty-bucks from my mom 's- like my mom gives money to her,-139.74895687,-144.75056167,-113.15123714,-115.62732987,-111.19493213000001,-111.30291483000002
43,dat-0045,D," er by working really hard. Which you-know kind of gives me inspiration to work hard."" (Tape 029a ends)"," er by working really hard. Which you-know kind of gives me inspiration to work hard."" (Tape 029a ends)", er by working really hard. Which you-know kind of gives me inspiration," er by working really hard. Which you-know kind of gives inspiration to me to work hard."" (Tape 029a ends)", er by working really hard. Which you-know kind of gives inspiration, er by working really hard. Which you-know kind of gives me, er by working really hard. Which you-know kind of gives inspiration to me,-147.431161394,-152.957116733,-97.29638595399999,-102.65612722,-99.216766314,-92.15960747
44,dat-0046,D, my mom gives her money to spend every month. She gave me sixty because she didn 't want to spend all of, my mom gives her money to spend every month. She gave me sixty because she didn 't want to spend all of, my mom gives her money to spend every month. She gave me sixty, my mom gives her money to spend every month. She gave sixty to me because she didn 't want to spend all of, my mom gives her money to spend every month. She gave sixty, my mom gives her money to spend every month. She gave me, my mom gives her money to spend every month. She gave sixty to me,-114.48691607999997,-121.10051273000002,-86.2232515,-96.28919300000003,-89.1405434,-79.66034154
45,dat-0047,D," buy a two-door car. How am I gonna sit in it? I give you rides. You have to give me rides back."" And"," buy a two-door car. How am I gonna sit in it? I give you rides. You have to give me rides back."" And", buy a two-door car. How am I gonna sit in it? I give you rides," buy a two-door car. How am I gonna sit in it? I give rides to you. You have to give me rides back."" And", buy a two-door car. How am I gonna sit in it? I give rides, buy a two-door car. How am I gonna sit in it? I give you, buy a two-door car. How am I gonna sit in it? I give rides to you,-121.97304522999997,-124.18302084,-96.18993133599999,-98.586647046,-92.92825773999999,-87.39758925400001
46,dat-0048,D, he very beg-- very beginning of the year. And she gave her acrylics with like for- yeah. Acrylics with, he very beg-- very beginning of the year. And she gave her acrylics with like for- yeah. Acrylics with, he very beg-- very beginning of the year. And she gave her acrylics, he very beg-- very beginning of the year. And she gave acrylics to her with like for- yeah. Acrylics with, he very beg-- very beginning of the year. And she gave acrylics, he very beg-- very beginning of the year. And she gave her, he very beg-- very beginning of the year. And she gave acrylics to her,-145.414611384,-152.892567944,-104.95231956999999,-109.28106076999998,-103.15589943999998,-89.39708680999999
47,dat-0049,D," the school children holidays and they gave me flowers and of-course you'd get all these flowers,"," the school children holidays and they gave me flowers and of-course you'd get all these flowers,", the school children holidays and they gave me flowers," the school children holidays and they gave flowers to me and of-course you'd get all these flowers,", the school children holidays and they gave flowers, the school children holidays and they gave me, the school children holidays and they gave flowers to me,-121.78742639999999,-124.25628289,-79.30632020000002,-83.24386969999998,-78.2826848,-70.78189069999999
48,dat-0050,D, I was on my own then from New-York on down to Washington but they gave the school children holidays and they, I was on my own then from New-York on down to Washington but they gave the school children holidays and they, I was on my own then from New-York on down to Washington but they gave the school children holidays, I was on my own then from New-York on down to Washington but they gave holidays to the school children and they, I was on my own then from New-York on down to Washington but they gave holidays, I was on my own then from New-York on down to Washington but they gave the school children, I was on my own then from New-York on down to Washington but they gave holidays to the school children,-121.40265955,-123.47318143999999,-117.68546117000002,-119.82687086999995,-109.560622,-111.32333349999999
49,dat-0051,D," them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner. Sometimes we'd"," them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner. Sometimes we'd"," them lunch, you-know and give them dinner"," them lunch, you-know and give dinner to them, to the men's club once a month and we gave them a good dinner. Sometimes we'd"," them lunch, you-know and give dinner"," them lunch, you-know and give them"," them lunch, you-know and give dinner to them",-139.79537882000002,-143.50369907000004,-77.21254100000002,-83.28469663000001,-81.07547899999999,-73.51628311999998
50,dat-0052,D," Well we used to give dinners to the Men's Club, and give them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner."," Well we used to give dinners to the Men's Club, and give them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner."," Well we used to give dinners to the Men's Club, and give them lunch"," Well we used to give dinners to the Men's Club, and give lunch to them, you-know and give them dinner, to the men's club once a month and we gave them a good dinner."," Well we used to give dinners to the Men's Club, and give lunch"," Well we used to give dinners to the Men's Club, and give them"," Well we used to give dinners to the Men's Club, and give lunch to them",-149.59507921,-156.70673466999997,-88.20106268000002,-92.99536759,-88.02951725,-83.27967112000002
51,dat-0053,D," Sometimes we'd give them turkey, sometimes roast beef and sometimes ham."," Sometimes we'd give them turkey, sometimes roast beef and sometimes ham.", Sometimes we'd give them turkey," Sometimes we'd give turkey to them, sometimes roast beef and sometimes ham.", Sometimes we'd give turkey, Sometimes we'd give them, Sometimes we'd give turkey to them,-69.8104883,-76.26145899,-53.827535499999996,-58.44200719999999,-53.3854839,-44.5250574
52,dat-0055,D, nobody had much money and often through the existing policies we would give them loans and pay them over in some situations., nobody had much money and often through the existing policies we would give them loans and pay them over in some situations., nobody had much money and often through the existing policies we would give them loans, nobody had much money and often through the existing policies we would give loans to them and pay them over in some situations., nobody had much money and often through the existing policies we would give loans, nobody had much money and often through the existing policies we would give them, nobody had much money and often through the existing policies we would give loans to them,-135.75699374999996,-138.54782770000003,-99.70969729999999,-102.72472895,-97.78991574999999,-95.82388205
